Sample_ID,Paper_ID,Paper_Title,DOI,Year,Source_PDF,Composition_Formula,Base_LMFP_Composition,Full_Doped_Composition,Mn_Ratio,Fe_Ratio,Dopant_Element,Dopant_Count,Dopant_Molar_Ratio,Dopant_x_per_fu,Carbon_wt_percent,Synthesis_Method,Calcination_Temp_1_C,Calcination_Time_1_h,Discharge_Capacity_0_05C_mAh_g,Discharge_Capacity_0_1C_mAh_g,Discharge_Capacity_1C_mAh_g,Discharge_Capacity_2C_mAh_g,Discharge_Capacity_5C_mAh_g,Initial_Coulombic_Efficiency_percent,Cycle_Life_cycles,Capacity_Retention_percent,EIS_R_ct_before_Ohm,EIS_R_ct_after_Ohm,Li_Diffusion_Coefficient_cm2_s,XRD_Phase_Purity,Remarks,Impurity_Phase_Identified,Evidence,Calculated_Molar_Mass,Calculated_Q_M2,Calculated_Li_Stoichiometry,Calculated_Li_Vacancy_delta,Calculated_S_config_over_R,Calculated_Theoretical_Capacity_Metric,Record_Classification
P1_N-LMFP,P1,Simple synthesis of a hierarchical LiMn0.8Fe0.2PO4/C cathode by investigation of iron sources for lithium-ion batteries,10.1039/d2ra04427g,2022,d2ra04427g.pdf,LiMn0.8Fe0.2PO4/C (N-LMFP),LiMn0.8Fe0.2PO4,LiMn0.8Fe0.2PO4/C,0.8,0.2,None/Undoped,0,0.0,0.0,6.32,Solid-state (freeze-drying assisted),700.0,10.0,,136.0,130.0,130.4,122.0,,400.0,98.9,,,,Phase-pure olivine Pnma (Cell Vol 300.42 A3),"Fe(NO3)3 source. Hierarchical mesoporous 200 nm spheres, high surface area 55.3 m2/g, suppressed Mn dissolution.",None,"Paper text Page 4 Line 298, Page 6 Line 352",157.0302,2.0,1.0,0.0,0.5004,170.68,LITERATURE_REPORTED
P1_C-LMFP,P1,Simple synthesis of a hierarchical LiMn0.8Fe0.2PO4/C cathode by investigation of iron sources for lithium-ion batteries,10.1039/d2ra04427g,2022,d2ra04427g.pdf,LiMn0.8Fe0.2PO4/C (C-LMFP),LiMn0.8Fe0.2PO4,LiMn0.8Fe0.2PO4/C,0.8,0.2,None/Undoped,0,0.0,0.0,7.12,Solid-state (freeze-drying assisted),700.0,10.0,,126.0,,,104.0,,400.0,,,,,Phase-pure olivine Pnma (Cell Vol 300.04 A3),"FeC2O4 source. Rod-like shape with particle aggregation (~500 nm), surface area 32.3 m2/g.",None,"Paper text Page 4 Line 299, Page 4 Line 301",157.0302,2.0,1.0,0.0,0.5004,170.68,LITERATURE_REPORTED
P1_O-LMFP,P1,Simple synthesis of a hierarchical LiMn0.8Fe0.2PO4/C cathode by investigation of iron sources for lithium-ion batteries,10.1039/d2ra04427g,2022,d2ra04427g.pdf,LiMn0.8Fe0.2PO4/C (O-LMFP),LiMn0.8Fe0.2PO4,LiMn0.8Fe0.2PO4/C,0.8,0.2,None/Undoped,0,0.0,0.0,6.35,Solid-state (freeze-drying assisted),700.0,10.0,,120.0,,54.0,75.0,,400.0,55.1,,,,Phase-pure olivine Pnma (Cell Vol 300.10 A3),"Fe2O3 source. Rough flake-like shape (~500 nm), deteriorating capacity caused by incomplete reduction of Fe2O3.",Unreduced Fe2O3 trace,"Paper text Page 4 Line 300, Page 6 Line 356",157.0302,2.0,1.0,0.0,0.5004,170.68,LITERATURE_REPORTED
P1_LMP-C,P1,Simple synthesis of a hierarchical LiMn0.8Fe0.2PO4/C cathode by investigation of iron sources for lithium-ion batteries,10.1039/d2ra04427g,2022,d2ra04427g.pdf,LiMnPO4/C (LMP/C Control),LiMnPO4,LiMnPO4/C,1.0,0.0,None/Undoped,0,0.0,0.0,,Solid-state (freeze-drying assisted),700.0,10.0,,122.0,,,,,200.0,,,,,Pnma LiMnPO4,Pure undoped LiMnPO4 control baseline. Exhibits Mn dissolution and Jahn-Teller distortion.,MnPO4 after 200 cycles,"Paper text Page 6 Line 331, Page 6 Line 376",156.8488,2.0,1.0,0.0,0.0,170.87,LITERATURE_REPORTED
P1_Row1_Sample_1,P1_Row1,Simple synthesis of a hierarchical LiMn0.8Fe0.2PO4/ C cathode by investigation of iron sources for lithium-ion batteries,10.1039/d2ra04427g,2022,d2ra04427g.pdf,LiMn0.8Fe0.2PO4/C (N-LMFP),,,0.8,0.2,None/Undoped,0,,,6.32,Solid-state,700.0,10.0,,136,,,122.0,,400,98.9,,,9.54e-13,,N-LMFP synthesized using soluble Fe(NO3)3 showing excellent rate capability.,,Main Text / Fig. 4,157.0302,2.0,1.0,0.0,0.5004,170.68,LITERATURE_REPORTED
P1_Row2_Sample_1,P1_Row2,Simple synthesis of a hierarchical LiMn0.8Fe0.2PO4/ C cathode by investigation of iron sources for lithium-ion batteries,10.1039/d2ra04427g,2022,d2ra04427g.pdf,LiMn0.8Fe0.2PO4/C (C-LMFP),,,0.8,0.2,None/Undoped,0,,,7.12,Solid-state,700.0,10.0,,126,,,104.0,,400,,,,2.02e-14,,C-LMFP synthesized using FeC2O4.,,Main Text / Fig. 4,157.0302,2.0,1.0,0.0,0.5004,170.68,LITERATURE_REPORTED
P1_Row3_Sample_1,P1_Row3,Simple synthesis of a hierarchical LiMn0.8Fe0.2PO4/ C cathode by investigation of iron sources for lithium-ion batteries,10.1039/d2ra04427g,2022,d2ra04427g.pdf,LiMn0.8Fe0.2PO4/C (O-LMFP),,,0.8,0.2,None/Undoped,0,,,6.35,Solid-state,700.0,10.0,,120,,,75.0,,400,55.1,,,8.29e-13,,O-LMFP synthesized using Fe2O3.,,Main Text / Fig. 4,157.0302,2.0,1.0,0.0,0.5004,170.68,LITERATURE_REPORTED
P1_Row4_Sample_1,P1_Row4,Simple synthesis of a hierarchical LiMn0.8Fe0.2PO4/ C cathode by investigation of iron sources for lithium-ion batteries,10.1039/d2ra04427g,2022,d2ra04427g.pdf,LiMnPO4/C (LMP/C Control),,,1.0,0.0,None/Undoped,0,,,6.5,Solid-state,700.0,10.0,,112,,,45.0,,100,30,,,Baseline pure LiMnPO4 control sample.,,,,Main Text,156.8488,2.0,1.0,0.0,0.0,170.87,LITERATURE_REPORTED
P2_Row1_Sample_1,P2_Row1,Green Phytic Acid-Assisted Synthesis of LiMn1_xFexPO4/C Cathodes for High-Performance Lithium-Ion Batteries,10.3390/nano14161360,2024,UNVERIFIED_PDF_NOT_FOUND,LiMn0.8Fe0.2PO4/C (LMFP/C-0.2),,,0.8,0.2,None/Undoped,0,,,8.1,Solvothermal,350.0,2.0,146.0,,83.0,77,,,150,91.1,,,,,Optimal Fe-doping configuration.,,Main Text / Fig. 4,157.0302,2.0,1.0,0.0,0.5004,170.68,LITERATURE_REPORTED
P2_Row2_Sample_1,P2_Row2,Green Phytic Acid-Assisted Synthesis of LiMn1_xFexPO4/C Cathodes for High-Performance Lithium-Ion Batteries,10.3390/nano14161360,2024,UNVERIFIED_PDF_NOT_FOUND,LiMn0.9Fe0.1PO4/C (LMFP/C-0.1),,,0.9,0.1,None/Undoped,0,,,7.8,Solvothermal,350.0,2.0,132.0,,75.0,68,,,150,86.2,,,,,Sub-optimal low Fe-doping configuration.,,Main Text,156.9395,2.0,1.0,0.0,0.3251,170.78,LITERATURE_REPORTED
P2_Row3_Sample_1,P2_Row3,Green Phytic Acid-Assisted Synthesis of LiMn1_xFexPO4/C Cathodes for High-Performance Lithium-Ion Batteries,10.3390/nano14161360,2024,UNVERIFIED_PDF_NOT_FOUND,LiMn0.6Fe0.4PO4/C (LMFP/C-0.4),,,0.6,0.4,None/Undoped,0,,,8.4,Solvothermal,350.0,2.0,111.7,,68.0,58,,,150,74.1,,,,,Excessive Fe doping causing lattice distortion.,,Main Text,157.2116,2.0,1.0,0.0,0.673,170.48,LITERATURE_REPORTED
P2_Row4_Sample_1,P2_Row4,Green Phytic Acid-Assisted Synthesis of LiMn1_xFexPO4/C Cathodes for High-Performance Lithium-Ion Batteries,10.3390/nano14161360,2024,UNVERIFIED_PDF_NOT_FOUND,LiMnPO4/C (LMP/C Baseline),,,1.0,0.0,None/Undoped,0,,,8.0,Solvothermal,350.0,2.0,123.0,,54.0,41,,,150,72.7,,,,,Pure LMP reference sample without Fe.,,Main Text,156.8488,2.0,1.0,0.0,0.0,170.87,LITERATURE_REPORTED
P3_T1_Row1_Sample_1,P3_T1_Row1,Lithium manganese iron phosphate (LiMn1_yFeyPO4) rechargeable batteries: bridging material innovation with practical cell design,10.20517/energymater.2025.29,2025,"Lithium manganese iron phosphate materials_ Design, progress, and challenges.pdf",LiMn0.6Fe0.4PO4 + NCM523 (30:70),,,0.6,0.4,None/Undoped,0,,,,,,,,,2024.0,,,,500,96.2,,,Blended with NCM523 (30:70 ratio).,,,,Table 1,157.2116,2.0,1.0,0.0,0.673,170.48,LITERATURE_REPORTED
P3_T1_Row2_Sample_1,P3_T1_Row2,Lithium manganese iron phosphate (LiMn1_yFeyPO4) rechargeable batteries: bridging material innovation with practical cell design,10.20517/energymater.2025.29,2025,"Lithium manganese iron phosphate materials_ Design, progress, and challenges.pdf",LiMn0.6Fe0.4PO4 + NCM523 (70:30),,,0.6,0.4,None/Undoped,0,,,,,,,,1954,,,,,250,97.7,,,Blended with NCM523 (70:30 ratio).,,,,Table 1,157.2116,2.0,1.0,0.0,0.673,170.48,LITERATURE_REPORTED
